issue,docs_with_hits,total_hits
due_process,197,5629
notice,418,22877
hearing,331,18366
recusal,191,11332
jurisdiction,248,8819
associate_judge,226,7373
ex_parte,125,2532
removal_remand,176,3532
discovery,182,3038
sanctions_contempt,151,2949
temporary_orders,237,19050
