issue_a,issue_b,doc_count
civil_rights_1983,injunction,42
civil_rights_1983,due_process,41
civil_rights_1983,lockout_eviction,41
child_support_oag,removal_remand,41
civil_rights_1983,removal_remand,38
child_support_oag,discovery,38
protective_order,sanctions_contempt,37
civil_rights_1983,mandamus,35
due_process,rico,35
discovery,temporary_orders,34
injunction,sanctions_contempt,33
civil_rights_1983,ex_parte,33
associate_judge,rico,33
mandamus,rico,32
associate_judge,civil_rights_1983,31
recusal,rico,31
civil_rights_1983,protective_order,31
civil_rights_1983,discovery,30
discovery,ex_parte,30
discovery,sanctions_contempt,30
civil_rights_1983,temporary_orders,29
child_support_oag,ex_parte,28
child_support_oag,sanctions_contempt,27
civil_rights_1983,recusal,26
civil_rights_1983,sanctions_contempt,26
child_support_oag,rico,26
rico,temporary_orders,26
child_support_oag,civil_rights_1983,25
rico,sanctions_contempt,23
ex_parte,rico,9
