corpus,source_pdf,source_txt,source_exists,date,year,month,day,case_numbers,doc_tags,pages,text_chars,ocr_chars,word_count,status
case,CASE DOCS\02.05.2024_NOTICE OF TERMINATION OF LEGAL COUNSEL -BACALIS-1.pdf,extracted_text\02.05.2024_NOTICE OF TERMINATION OF LEGAL COUNSEL -BACALIS-1.txt,yes,2024-02-05,2024,02,05,,notice,3,2531,2377,829,ok
case,CASE DOCS\02.05.24 - NOTICE OF TERMINATION OF LEGAL COUNSEL-1.pdf,extracted_text\02.05.24 - NOTICE OF TERMINATION OF LEGAL COUNSEL-1.txt,yes,2024-02-05,2024,02,05,,notice,3,3114,3026,1017,ok
case,CASE DOCS\02.06.2024_AGREED MOTION FOR WITHDRAWAL OF ATTY BACALIS-1.pdf,extracted_text\02.06.2024_AGREED MOTION FOR WITHDRAWAL OF ATTY BACALIS-1.txt,yes,2024-02-06,2024,02,06,,motion,5,4595,4230,1487,ok
case,CASE DOCS\02.06.24 - Agreed Motion for Withdraw-1.pdf,extracted_text\02.06.24 - Agreed Motion for Withdraw-1.txt,yes,2024-02-06,2024,02,06,,motion,4,1513,4268,927,ok
case,CASE DOCS\02.06.24 - Agreed Motion for Withdrawal of Attorney-1.pdf,extracted_text\02.06.24 - Agreed Motion for Withdrawal of Attorney-1.txt,yes,2024-02-06,2024,02,06,,motion,4,949,3745,777,ok
case,CASE DOCS\02.06.24 - Agreed Motion for Withdrawal of Attorney_2694B50A-1.pdf,extracted_text\02.06.24 - Agreed Motion for Withdrawal of Attorney_2694B50A-1.txt,yes,2024-02-06,2024,02,06,,motion,4,949,3745,777,ok
case,CASE DOCS\02.08.2024_AGREED AJS REPORT FOR TEMP ORDS-1.pdf,extracted_text\02.08.2024_AGREED AJS REPORT FOR TEMP ORDS-1.txt,yes,2024-02-08,2024,02,08,,report,7,9541,8094,2971,ok
case,CASE DOCS\02.08.2024_AGREED ORDER FOR CONSOLIDATION SIGNED 2124-1.pdf,extracted_text\02.08.2024_AGREED ORDER FOR CONSOLIDATION SIGNED 2124-1.txt,yes,2024-02-08,2024,02,08,,order,4,3416,2956,1081,ok
case,CASE DOCS\02.08.24 - Agreed Motion to Consolidate-1.pdf,extracted_text\02.08.24 - Agreed Motion to Consolidate-1.txt,yes,2024-02-08,2024,02,08,,motion,3,2799,2818,941,ok
case,CASE DOCS\02.08.24 - Agreed Order for Consolidation-1-1.pdf,extracted_text\02.08.24 - Agreed Order for Consolidation-1-1.txt,yes,2024-02-08,2024,02,08,,order,3,2799,2818,941,ok
case,CASE DOCS\02.08.24 - Associate Judge's Report-1-1.pdf,extracted_text\02.08.24 - Associate Judge's Report-1-1.txt,yes,2024-02-08,2024,02,08,,report,6,8407,8048,2782,ok
case,CASE DOCS\02.08.24 - ASSOCIATE JUDGE'S REPORT-1.pdf,extracted_text\02.08.24 - ASSOCIATE JUDGE'S REPORT-1.txt,yes,2024-02-08,2024,02,08,,report,6,8407,8048,2782,ok
case,CASE DOCS\02.09-1.pdf,extracted_text\02.09-1.txt,yes,,,,,,,13,28199,22166,7412,ok
case,CASE DOCS\02.09.2024_EXHIBIT A1 - TEXT RECORDS AND VISUALIZATIONS-1.pdf,extracted_text\02.09.2024_EXHIBIT A1 - TEXT RECORDS AND VISUALIZATIONS-1.txt,yes,2024-02-09,2024,02,09,,exhibit;record,462,1076021,1080757,444414,ok
case,CASE DOCS\02.09.2024_EXHIBIT A5 - EVICTION NOTICE TORN-1.pdf,extracted_text\02.09.2024_EXHIBIT A5 - EVICTION NOTICE TORN-1.txt,yes,2024-02-09,2024,02,09,,notice;exhibit,4,4484,3840,1449,ok
